,count,unique,top,freq,mean,std,min,25%,50%,75%,max
job,27595,12,admin,7022,,,,,,,
marital,27595,4,married,16632,,,,,,,
education,27595,8,university.degree,8158,,,,,,,
default,27595,3,no,21858,,,,,,,
housing,27595,3,yes,14445,,,,,,,
loan,27595,3,no,22711,,,,,,,
contact,27595,2,cellular,17564,,,,,,,
month,27595,10,may,9130,,,,,,,
day_of_week,27595,5,thu,5766,,,,,,,
poutcome,27595,3,nonexistent,23856,,,,,,,
duration,27595.0,,,,257.92310201123394,259.7770802730372,0.0,102.0,180.0,318.0,4918.0
campaign,27595.0,,,,2.581953252400797,2.7705978923341767,1.0,1.0,2.0,3.0,43.0
pdays,27595.0,,,,963.1233556803769,185.31045864469536,0.0,999.0,999.0,999.0,999.0
previous,27595.0,,,,0.17184272513136437,0.4933831138763388,0.0,0.0,0.0,0.0,7.0
emp.var.rate,27595.0,,,,0.08500452980612429,1.5707032202224023,-3.4,-1.8,1.1,1.4,1.4
cons.price.idx,27595.0,,,,93.57739003442653,0.5794650580798925,92.201,93.075,93.749,93.994,94.767
cons.conf.idx,27595.0,,,,-40.51435042580177,4.6338485763477495,-50.8,-42.7,-41.8,-36.4,-26.9
euribor3m,27595.0,,,,3.623515020837108,1.734756490084825,0.634,1.344,4.857,4.961,5.045
nr.employed,27595.0,,,,5167.094321435043,72.48771619928915,4963.6,5099.1,5191.0,5228.1,5228.1
age,27595.0,,,,39.99706468563146,10.450754205881623,17.0,32.0,38.0,47.0,98.0
subscribed,27595.0,,,,0.11244790722957057,0.31592244655905355,0.0,0.0,0.0,0.0,1.0
