feature,value,count,pct
job,admin,7022,25.45
job,blue-collar,6249,22.65
job,technician,4446,16.11
job,services,2677,9.7
job,management,1941,7.03
job,retired,1126,4.08
job,self-employed,964,3.49
job,entrepreneur,944,3.42
job,housemaid,724,2.62
job,unemployed,664,2.41
job,student,616,2.23
job,unknown,222,0.8
marital,married,16632,60.27
marital,single,7839,28.41
marital,divorced,3073,11.14
marital,unknown,51,0.18
education,university.degree,8158,29.56
education,high.school,6429,23.3
education,basic.9y,3983,14.43
education,professional.course,3484,12.63
education,basic.4y,2805,10.16
education,basic.6y,1553,5.63
education,unknown,1174,4.25
education,illiterate,9,0.03
default,no,21858,79.21
default,unknown,5735,20.78
default,yes,2,0.01
housing,yes,14445,52.35
housing,no,12465,45.17
housing,unknown,685,2.48
loan,no,22711,82.3
loan,yes,4199,15.22
loan,unknown,685,2.48
contact,cellular,17564,63.65
contact,telephone,10031,36.35
month,may,9130,33.09
month,jul,4868,17.64
month,aug,4148,15.03
month,jun,3573,12.95
month,nov,2745,9.95
month,apr,1744,6.32
month,oct,496,1.8
month,mar,385,1.4
month,sep,381,1.38
month,dec,125,0.45
day_of_week,thu,5766,20.9
day_of_week,mon,5645,20.46
day_of_week,wed,5503,19.94
day_of_week,tue,5396,19.55
day_of_week,fri,5285,19.15
poutcome,nonexistent,23856,86.45
poutcome,failure,2837,10.28
poutcome,success,902,3.27
