number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eta,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9372152227653268,2026-04-10 09:05:43.738290,2026-04-10 09:05:44.632106,0 days 00:00:00.893816,0.40921304830970556,0.06504856968981275,10,8,800,3.3323645788192616e-08,0.6245760287469887,0.759195090518222,COMPLETE
1,0.9411245996566002,2026-04-10 09:05:44.632412,2026-04-10 09:05:48.852330,0 days 00:00:04.219918,0.8827098485602952,0.001124579825911934,8,11,1250,4.329370014459266e-07,4.4734294104626844e-07,0.9819459112971965,COMPLETE
2,0.940391861792113,2026-04-10 09:05:48.852602,2026-04-10 09:05:50.794636,0 days 00:00:01.942034,0.7282970263056656,0.01174843954800703,7,7,650,4.258943089524393e-06,1.9826980964985924e-05,0.5747374841188252,COMPLETE
3,0.9372566814254555,2026-04-10 09:05:50.794952,2026-04-10 09:05:54.412065,0 days 00:00:03.617113,0.7146901982034297,0.003123317753376431,9,3,950,0.0029369981104377003,3.425445902633376e-07,0.708540663048167,COMPLETE
4,0.9313005247301144,2026-04-10 09:05:54.412353,2026-04-10 09:05:54.732336,0 days 00:00:00.319983,0.5132296384213595,0.24659691172104828,10,5,200,0.01439120761572808,9.148975058772307e-05,0.8850384088698767,COMPLETE
5,0.9343268297745484,2026-04-10 09:05:54.732608,2026-04-10 09:05:55.506376,0 days 00:00:00.773768,0.48114598712001183,0.0012167028814593455,6,34,300,6.388511557344611e-06,0.0004793052550782129,0.9455922412472693,COMPLETE
6,0.9421822150744482,2026-04-10 09:05:55.506655,2026-04-10 09:05:55.758823,0 days 00:00:00.252168,0.9576492590949324,0.25221951700214296,4,45,1150,0.002404915432737351,1.9809253750493887,0.8650796940166687,COMPLETE
7,0.9350610633905163,2026-04-10 09:05:55.759097,2026-04-10 09:05:56.260910,0 days 00:00:00.501813,0.5720741027826374,0.001294295611551122,4,14,250,0.287499823474079,1.6247252885719427e-05,0.5951981984579586,COMPLETE
8,0.9313071112568183,2026-04-10 09:05:56.261177,2026-04-10 09:05:57.964447,0 days 00:00:01.703270,0.35218545057583955,0.0022340165853190056,7,50,600,0.08916674715636552,6.143857495033091e-07,0.8813181884524238,COMPLETE
9,0.9344177181341518,2026-04-10 09:05:57.964739,2026-04-10 09:05:58.361817,0 days 00:00:00.397078,0.839889242680162,0.0563600475052774,9,4,100,1.683416412018213e-05,1.1036250149900698e-07,0.8374043008245924,COMPLETE
10,0.9429150813332275,2026-04-10 09:05:58.362113,2026-04-10 09:05:58.866773,0 days 00:00:00.504660,0.9887119513023361,0.25215116809209465,3,46,1900,4.3444691085504035,6.178893500921425,0.4107771253688917,COMPLETE
11,0.9421575036585921,2026-04-10 09:05:58.867074,2026-04-10 09:05:59.343082,0 days 00:00:00.476008,0.9817441460398322,0.28728003582892586,3,50,1900,7.556243125116086,5.2052107279562465,0.4103116901613753,COMPLETE
12,0.9439672124591612,2026-04-10 09:05:59.343355,2026-04-10 09:06:00.212515,0 days 00:00:00.869160,0.9792203434477438,0.09502550170587923,5,39,2000,9.137614864163513,0.04303750200552893,0.4039402731275814,COMPLETE
13,0.9434566575200896,2026-04-10 09:06:00.212802,2026-04-10 09:06:01.560548,0 days 00:00:01.347746,0.8224132073722319,0.08168892465350032,5,35,2000,9.868745464853797,0.03075004754791414,0.4058834472176763,COMPLETE
14,0.9425052819144379,2026-04-10 09:06:01.560854,2026-04-10 09:06:02.428602,0 days 00:00:00.867748,0.8140615868798446,0.06555638746247613,5,32,1550,0.6075329092896968,0.02430337806824487,0.5049026346745512,COMPLETE
15,0.9438952820947009,2026-04-10 09:06:02.428905,2026-04-10 09:06:05.522245,0 days 00:00:03.093340,0.7500093697456778,0.024222103033977937,5,37,1600,9.450383392009716,0.01588669294191527,0.5009011251004057,COMPLETE
16,0.943700763810163,2026-04-10 09:06:05.522525,2026-04-10 09:06:07.402789,0 days 00:00:01.880264,0.646144553150752,0.015572727828859566,6,21,1600,0.060137121676944086,0.005691361824137151,0.5107487361489345,COMPLETE
17,0.9436282511714176,2026-04-10 09:06:07.403077,2026-04-10 09:06:09.414372,0 days 00:00:02.011295,0.7126397340974996,0.02520012527531751,5,40,1600,0.00033184569777271503,0.09545448659485649,0.49707370438280923,COMPLETE
18,0.9446013894963019,2026-04-10 09:06:09.415156,2026-04-10 09:06:12.268413,0 days 00:00:02.853257,0.9115857527336776,0.006032330521991676,4,26,1450,1.0589372403072446,0.0017497300794721013,0.629734686645758,COMPLETE
19,0.9446878369632956,2026-04-10 09:06:12.268694,2026-04-10 09:06:14.726970,0 days 00:00:02.458276,0.9055779574802415,0.006734235453590192,4,26,1250,0.9776595002051023,0.0010379906159105163,0.6140223818248427,COMPLETE
20,0.9445916802634768,2026-04-10 09:06:14.727254,2026-04-10 09:06:17.286425,0 days 00:00:02.559171,0.9008892486877855,0.0052081087493615445,4,26,1300,0.7701973456049668,0.001737754224900676,0.6405797425913496,COMPLETE
21,0.9446252655181121,2026-04-10 09:06:17.286699,2026-04-10 09:06:19.939813,0 days 00:00:02.653114,0.9122586551636703,0.0069758583363461425,4,26,1350,0.759944433480569,0.001679287833558573,0.640715320436965,COMPLETE
22,0.9445238534207032,2026-04-10 09:06:19.940114,2026-04-10 09:06:22.337423,0 days 00:00:02.397309,0.902882164589207,0.007238026422195105,3,24,1450,0.016332701717409887,0.000520491252829099,0.6418136807152306,COMPLETE
23,0.9444863314752008,2026-04-10 09:06:22.337715,2026-04-10 09:06:24.313264,0 days 00:00:01.975549,0.7769429733623712,0.006813918850687812,4,18,1000,0.5331078298518849,7.294312713061681e-05,0.7376985001841885,COMPLETE
24,0.9428297042110716,2026-04-10 09:06:24.313553,2026-04-10 09:06:26.563844,0 days 00:00:02.250291,0.9127363840623143,0.003721073768515159,3,29,1350,0.06744505489439971,0.0020025553095625818,0.652098958193681,COMPLETE
25,0.9438178818348958,2026-04-10 09:06:26.564132,2026-04-10 09:06:29.962486,0 days 00:00:03.398354,0.6493065664524452,0.009307713222720417,4,19,1750,1.3183080999961,5.537446480413354e-06,0.790258007431067,COMPLETE
26,0.9432706467747833,2026-04-10 09:06:29.962767,2026-04-10 09:06:32.815258,0 days 00:00:02.852491,0.854927617364193,0.0020062083184147956,6,30,1100,0.0005146963371248362,0.3417192117542453,0.578325594310763,COMPLETE
27,0.9444951217014608,2026-04-10 09:06:32.815551,2026-04-10 09:06:35.563612,0 days 00:00:02.748061,0.9411604095986595,0.004521059236507624,4,25,1400,0.01720078760251081,0.0043715531807274645,0.6827171104464453,COMPLETE
28,0.944233302694564,2026-04-10 09:06:35.563904,2026-04-10 09:06:37.412812,0 days 00:00:01.848908,0.7916750396921475,0.020108128975951173,3,15,1150,0.1795083708101221,1.6902749588425184e-08,0.5476604052752462,COMPLETE
29,0.9438303445592979,2026-04-10 09:06:37.413099,2026-04-10 09:06:39.597831,0 days 00:00:02.184732,0.8772509997413752,0.012151478860816089,6,28,850,8.329802938634416e-05,0.0002208199871715652,0.777307948971089,COMPLETE
